Model;Promo_Price;Price;URL
['HISENSE', '50A7400F'];16999;18 499-1 500                                        16 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_50a7400f.html
['SAMSUNG', 'QE50Q80AAUXUA'];39999;46 999-7 000                                        39 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe50q80aauxua.html
['SAMSUNG', 'UE43AU9000UXUA'];19999;21 199-1 200                                        19 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue43au9000uxua.html
['ERGO', '32WHS8500'];8399;9 329-930                                        8 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ergo_32whs8500.html
['SAMSUNG', 'UE65BU8500UXUA'];45199;56 499-11 300                                        45 199 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_ue65bu8500uxua.html
['LG', '50NANO756PA'];22999;34 999-12 000                                        22 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_50nano756pa.html
['HISENSE', '55U8QF'];26999;32 999-6 000                                        26 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_55u8qf.html
['HISENSE', '50A7GQ'];21999;27 499-5 500                                        21 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_hisense_50a7gq.html
['ERGO', '32DHS5100'];6999;8 749-1 750                                        6 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ergo_32dhs5100.html
['SONY', 'XR77A80JCEP'];179999;224 999-45 000                                        179 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_xr77a80jcep.html
['LG', '43NANO756PA'];21999;25 499-3 500                                        21 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_43nano756pa-0.html
['SAMSUNG', 'QE65Q70AAUXUA'];52999;71 249-18 250                                        52 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe65q70aauxua.html
['SAMSUNG', 'UE75AU7100UXUA'];49999;56 999-7 000                                        49 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue75au7100uxua.html
['LG', '50NANO816PA'];23999;36 629-12 630                                        23 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_50nano816pa.html
